id,mesin,value,created_at,next_processes,std_mp,std_ct,stroke_ratio,harga_pcs,alias_values
29987761-0bcb-4a2a-83a5-4784c5cd9b04,transfer_2000t,67337-0D130,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,32132.05,[]
b396876c-3366-4b30-9813-3651df37f232,transfer_2000t,67338-0D130-001,2026-07-21 01:12:07.288115+00,[],null,0.07818181818181819,0.5,32132.05,[]
ca2ba015-49eb-4edd-bbbb-943fc1fc720b,transfer_800t,53741-VT020-001,2026-07-17 06:35:11.487156+00,[],null,0.09717948717948717,1,20581.07,[]
fe7bf13a-52cf-46d9-a7b5-50f2138a1893,transfer_800t,53742-VT020-001,2026-07-17 06:35:11.487156+00,[],null,0.09717948717948717,1,20581.07,[]
e1126a97-da43-43d3-ae20-c3658ab963a8,transfer_800t,57315-VT020,2026-07-21 01:12:07.288115+00,[],null,0.048589743589743585,0.5,19764.73,[]
2a9cddd1-a44e-44f6-b047-f31deb3ddf4d,transfer_800t,57316-VT020,2026-07-21 01:12:07.288115+00,[],null,0.048589743589743585,0.5,19764.73,[]
09a86a73-8c10-4621-90b0-757bc9c8433e,transfer_800t,57621/2-VT020-001,2026-07-17 06:35:11.487156+00,"[{""line"":""tandem"",""part_number"":""57621/2-VT020""}]",null,0.11384615384615385,1,44849.79,[]
a994e94b-caf9-4960-9b46-91f31973486d,transfer_800t,57771-VT020-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""57771-VT020""}]",null,0.09717948717948717,1,14603.89,[]
0e1ce8ba-b121-4ee0-8cfd-875cb19b6304,transfer_800t,57772-VT020-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""57772-VT020""}]",null,0.09717948717948717,1,14603.89,[]
74656d05-9b47-420c-a7fa-efa1b4c274f4,transfer_800t,58377-0D060-001,2026-07-17 06:35:11.487156+00,"[{""line"":""pc200t"",""part_number"":""58377-0D060""}]",null,0.08527472527472527,1,10374.33,[]
